bs	ic	height	width	oc	stride	ksize	mode
3	3	32	32	2	1	7	0
4	3	32	32	2	1	7	0
1	3	32	32	2	2	7	0
2	3	32	32	2	2	7	0
3	3	32	32	2	2	7	0
4	3	32	32	2	2	7	0
1	3	32	32	2	3	7	0
2	3	32	32	2	3	7	0
3	3	32	32	2	3	7	0
4	3	32	32	2	3	7	0
1	3	32	32	2	4	7	0
2	3	32	32	2	4	7	0
3	3	32	32	2	4	7	0
4	3	32	32	2	4	7	0
1	3	32	32	2	5	7	0
2	3	32	32	2	5	7	0
3	3	32	32	2	5	7	0
4	3	32	32	2	5	7	0
1	3	32	32	2	6	7	0
2	3	32	32	2	6	7	0
3	3	32	32	2	6	7	0
4	3	32	32	2	6	7	0
1	3	32	32	2	7	7	0
2	3	32	32	2	7	7	0
3	3	32	32	2	7	7	0
4	3	32	32	2	7	7	0
1	3	32	32	3	1	1	0
2	3	32	32	3	1	1	0
3	3	32	32	3	1	1	0
4	3	32	32	3	1	1	0
1	3	32	32	3	1	2	0
2	3	32	32	3	1	2	0
3	3	32	32	3	1	2	0
4	3	32	32	3	1	2	0
1	3	32	32	3	2	2	0
2	3	32	32	3	2	2	0
3	3	32	32	3	2	2	0
4	3	32	32	3	2	2	0
1	3	32	32	3	1	3	0
2	3	32	32	3	1	3	0
3	3	32	32	3	1	3	0
4	3	32	32	3	1	3	0
1	3	32	32	3	2	3	0
2	3	32	32	3	2	3	0
3	3	32	32	3	2	3	0
4	3	32	32	3	2	3	0
1	3	32	32	3	3	3	0
2	3	32	32	3	3	3	0
3	3	32	32	3	3	3	0
4	3	32	32	3	3	3	0
1	3	32	32	3	1	4	0
2	3	32	32	3	1	4	0
3	3	32	32	3	1	4	0
4	3	32	32	3	1	4	0
1	3	32	32	3	2	4	0
2	3	32	32	3	2	4	0
3	3	32	32	3	2	4	0
4	3	32	32	3	2	4	0
1	3	32	32	3	3	4	0
2	3	32	32	3	3	4	0
3	3	32	32	3	3	4	0
4	3	32	32	3	3	4	0
1	3	32	32	3	4	4	0
2	3	32	32	3	4	4	0
3	3	32	32	3	4	4	0
4	3	32	32	3	4	4	0
1	3	32	32	3	1	5	0
2	3	32	32	3	1	5	0
3	3	32	32	3	1	5	0
4	3	32	32	3	1	5	0
1	3	32	32	3	2	5	0
2	3	32	32	3	2	5	0
3	3	32	32	3	2	5	0
4	3	32	32	3	2	5	0
1	3	32	32	3	3	5	0
2	3	32	32	3	3	5	0
3	3	32	32	3	3	5	0
4	3	32	32	3	3	5	0
1	3	32	32	3	4	5	0
2	3	32	32	3	4	5	0
3	3	32	32	3	4	5	0
4	3	32	32	3	4	5	0
1	3	32	32	3	5	5	0
2	3	32	32	3	5	5	0
3	3	32	32	3	5	5	0
4	3	32	32	3	5	5	0
1	3	32	32	3	1	6	0
2	3	32	32	3	1	6	0
3	3	32	32	3	1	6	0
4	3	32	32	3	1	6	0
1	3	32	32	3	2	6	0
2	3	32	32	3	2	6	0
3	3	32	32	3	2	6	0
4	3	32	32	3	2	6	0
1	3	32	32	3	3	6	0
2	3	32	32	3	3	6	0
3	3	32	32	3	3	6	0
4	3	32	32	3	3	6	0
1	3	32	32	3	4	6	0
2	3	32	32	3	4	6	0
3	3	32	32	3	4	6	0
4	3	32	32	3	4	6	0
1	3	32	32	3	5	6	0
2	3	32	32	3	5	6	0
3	3	32	32	3	5	6	0
4	3	32	32	3	5	6	0
1	3	32	32	3	6	6	0
2	3	32	32	3	6	6	0
3	3	32	32	3	6	6	0
4	3	32	32	3	6	6	0
1	3	32	32	3	1	7	0
2	3	32	32	3	1	7	0
3	3	32	32	3	1	7	0
4	3	32	32	3	1	7	0
1	3	32	32	3	2	7	0
2	3	32	32	3	2	7	0
3	3	32	32	3	2	7	0
4	3	32	32	3	2	7	0
1	3	32	32	3	3	7	0
2	3	32	32	3	3	7	0
3	3	32	32	3	3	7	0
4	3	32	32	3	3	7	0
1	3	32	32	3	4	7	0
2	3	32	32	3	4	7	0
3	3	32	32	3	4	7	0
4	3	32	32	3	4	7	0
1	3	32	32	3	5	7	0
2	3	32	32	3	5	7	0
3	3	32	32	3	5	7	0
4	3	32	32	3	5	7	0
1	3	32	32	3	6	7	0
2	3	32	32	3	6	7	0
3	3	32	32	3	6	7	0
4	3	32	32	3	6	7	0
1	3	32	32	3	7	7	0
2	3	32	32	3	7	7	0
3	3	32	32	3	7	7	0
4	3	32	32	3	7	7	0
1	3	32	32	4	1	1	0
2	3	32	32	4	1	1	0
3	3	32	32	4	1	1	0
4	3	32	32	4	1	1	0
1	3	32	32	4	1	2	0
2	3	32	32	4	1	2	0
3	3	32	32	4	1	2	0
4	3	32	32	4	1	2	0
1	3	32	32	4	2	2	0
2	3	32	32	4	2	2	0
3	3	32	32	4	2	2	0
4	3	32	32	4	2	2	0
1	3	32	32	4	1	3	0
2	3	32	32	4	1	3	0
3	3	32	32	4	1	3	0
